,Bio_personality,food_drink,hobby_interests
227,Là người 50% hướng nội và 50% hướng ngoài,"Trà đào, bánh plan, lẩu chay, lẩy thái","Chơi game, đi du lịch, đi chơi"
228,"Ít nói, hoà đồng nhưng cũng thích ở một mình",Đồ ăn ngọt,Đọc sách
229,"Mình không hẳn ít nói nhưng cũng ngại nói chuyện với người khác, không thích cảm giác 1 mình lắm nhưng đi với nhiều người thì không biết phải nói gì, mình hk thích sự gượng ép","Không thích ăn cay lắm, thích bánh sandwich nướng, thích đồ ngọt, thích đồ ăn có trứng muối,...","Thích tiếng anh, nghe nhạc, xem phim,..."
230,Hoà đồng vui vẻ,Socola đá xay,Chơi game
231,Hoà đồng,Gà rán,Cầu lông
232,hướng nội thích không gian yên tĩnh,"bánh mì, cà phê sữa, đồ ngọt","thích đọc sách, thư giãn, pha chế, nấu ăn"
233,Nói nhiều,Trà đào thạch sữa,Thích học bài 
234,Không thích nơi đông người,"Cà phê, thức ăn có vị cay","Coding, học công nghệ, xem bóng đá"
235,"Thích yên tĩnh, thích ở 1 mình, ghét phiền phức, không thích giao tiếp với người lạ ",Cà phê,"Nằm dài nghe nhạc, uống cà phê"
236,Đôi lúc hướng nội và đôi lúc hướng ngoại,"Mình ăn thích ăn đồ healthy và ít đường, ít mỡ","Đá bóng, Tiếng Anh"
237,"Hoà đồng, vui vẻ, tích cực","1. Tofu
2. Bánh mì ( thích mọi loại bánh mì)
3. Nước ép
","Thích:
1. Thiên nhiên cây cỏ
2. Bóng bàn"
238,"Hướng ngoại, thích kết bạn ",đồ ăn Hàn Quốc,online shopping
239,Cầu toàn,Trà sữa,Kiếm tiền
240,một người ít nói hướng nội và thích ở một mình,trà sữa,toán
241,"Ít nói với người lạ, nói nhiều với người quen",Đồ ăn Hàn. Đồ uống healthy ,Thích đi du lịch và đi đây đi đó với bạn bè( một mình)
242,Hướng ngoại,Đồ hàn,Xem phim
243,"năng động, thích đi các hoạt động xã hội","mình thích uống trà sữa, hoặc các loại nước có gas","thích đánh cờ, chơi đàn"
244,Vui nhộn ,Thích caffee,"Thích chơi bóng rổ , chơi vape"
245,"hoạt bát, thích ngoại giao, thoải mái khi gia nhập vào tập thể","đồ ăn: các món nước (bún, phở); thức uống: nước có ga","toán, kĩ thuật, khoa học"
246,Mình là một người khá rụt rè khi ở một mình. ,Mình thích ăn tất cả những gì mình thấy ngon. Riêng đồ uống thì mình có niềm đam mê sâu sắc với Rau Má,Mình thích đọc tiểu thuyết và truyện tranh
247,"là một người nhiệt tình, hoạt bát, yêu thiên nhiên",lẩu cá đuối,bóng đá
248,là một người ít nói hướng nội và thích coi phim,cơm chiên trứng,coi phim hoạt hình
249,hướng nội,bánh ngọt,nghe nhạc
250,Ở giữa hướng nội và hướng ngoại. Hướng ngoại part time,"Các món nướng, chiên","Thích đọc truyện, chơi game"
251,"Nói nhiều, hướng nội, cực đoan",Bánh ngọt,"Vẽ, coi phim, chơi game"
252,Thích ờ chỗ không đông người,Bánh cuốn,Chơi nhạc
253,Extrovert,Coca,Đá banh
254,"Đôi khi hướng nội, đôi khi hướng ngoại",Thích ăn cay và đồ ngọt,"Bơi, cầu lông, diy.."
255,Huong noi va thich o mot minh,"Coca, pepsi, 7up, sprite, revive, moutain dew, mi tom, cơm, bánh mì...","thiên văn học, toán, vân vân..."
256,"một người ít nói hướng nội, thích làm việc và ở một mình, có phần hơi thích kiểm soát","mì xào, các loại trà trái cây và bánh mỳ","Chơi game , mầy mò linh kiện máy tính, bơi lội, bóng rổ"
257,Là người hướng nội,"Đồ chiên, và đồ nhướng",Ở nhà một mình
258,"Thích ở nhà hơn là ở ngoài, lười giao tiếp...","Phở, nước C2 chanh và táo","chơi game, coi phim anime và holywood"
259,"Hướng nội, thích đi lang thang một mình","Các món gỏi, các món ăn truyền thống hoặc món ăn đường phố Việt Nam",Đi phượt
260,Indoor type,Suit my taste is fine,Game và phụ kiện công nghệ
261, là một người ít nói hướng nội nhưng cũng có thẻ hướng ngoại parttime và sống lowkey,"socola, buger, pizaa ...","chụp ảnh, edit, xem phim, và chơi game"
262,"là một ambivert, thích đi đây đi đó trải nghiệm những thứ mới mẻ nhưng tùy hứng, không lười thì đi có hứng thì xác xe",ăn cơm mẹ nấu,"chơi game, cầu lông"
263,Hướng nội trầm tính,đồ ngọt ,thích hút thuốc
264,"Người hướng nội cởi mở, thích tụ tập bạn bè thân thiết ở nhà","Bún chả, bánh xèo, bánh canh, nước dưa hấu ép,...","ca hát, vẽ, tâm lý học, thiết kế "
265,ít nói ,Cafe,Thiên Văn Học 
266,Người suy nghĩ nhiều và hướng nội khi không có ai ,Phô mai kéo sợi xúc xích đồ hàn,Thich chơi thể thao võ
267,"Mình là dễ gần, hòa đồng","Trà sữa, nước ngọt","Nghe nhạc, đọc sách"
268,"Một người hoà đồng thích, vui vẻ, có quy tắc riêng, thích sạch sẽ ",Ăn đồ tốt cho sức khỏe ,"Xem phim, thường thức tác phẩm nghệ thuật "
269,Thích cứ gái,Ăn đồ ngọt uống nước ngọt,Thích đá banh
270,Là người  hướng nội,Thích  đồ ngọt,Thích  đi  du lịch 
271,"Hiền hoà, thân thiện, dễ tiếp xúc, hướng ngoại","Bánh ngọt, đồ cay hàn quốc ","Ngoại ngữ, toán "
272,Linh hoạt,Món nào mình thấy hợp thì đều thích ăn,"học, coi phim, tham gia hoạt động ngoại khoá, du lịch, ăn uống"
273,Hướng nội,Dưa hấu,Đọc sách
274,Ít nói nhưng hay chia sẻ với mn,Món nào hợp khẩu vị thì mình ăn,Đá bóng và game mobile
275,Khó giao tiếp,Bánh bò,Đọc sách 
276,Hướng nội nhưng thích làm social media,"Bún bò, thịt nướng",Học ngoại ngứ
277,ít nói,"Cơm, cà phê, trà","Đọc truyện, ngủ"
278,Lúc này lúc kia,Có ăn là được,Bơi
279,Vui tính,Bánh kẹp thịt,Toán
280,Đúng ik chang mô tả mẫu :))),Thích đồ tự nấu,"Đọc sách, đàn hát, vẽ, xem phim"
281,Hướng nội part time,Thịt kho tàu,Đá banh
282,Hướng nội,Bún đậu,Bóng rổ
283,bán hướng nội bán hướng ngoại ,đồ gì có vị cay,"xem anime, chơi game"
284,Hướng nội tích cực ,Ăn được uống được ,Vẽ 
285,VỪA HƯỚNG NGOẠI VỪA HƯỚNG NỘI ,THỨC ĂN GÌ NGON ĐỀU YÊU THÍCH,"NGHE NHẠC , XEM PHIM"
286,"Lạc quan năng động, tích cực","Bún thịt nướng, bánh mì thịt xá xíu","Vẽ tranh, xem anime, thể dục"
287,Vừa hướng nội vừa hướng ngoại,"Kem, tôm chiên, trà sữa, trà đào…","Vẽ, cầu lông, xem phim,…."
288,"Người đang học trường FPT, là người ít nói chuyện",thích ăn món mì cay,"cờ vua, cờ tướng"
289,Người hướng ngoại,"Trà đào, cơm tấm Long Xuyên, bún cá Châu Đốc","Toán, tin học, yoga,…"
290,Ồn ào,Mì ý,Ngủ
291,"Hướng nội, Lắng nghe, Tích cực","Gà Rán, Bún đậu","Xem phim, đá bóng, gym"
292,Một người hướng nội và thích ở một đám,thích ăn cá thác lác chiên,"chiêm tinh, phong thủy, kinh quẻ, đông y, pokemon"
293,"Hòa đồng, vui vẻ, nhiệt tình",Thịt,Chơi game
294,"Là người vừa hướng nội vừa hướng ngoại, thích đi chơi cùng những người bạn thân thiết và làm quen nhiều bạn mới","Gà rán, bimbim, bún, hủ tiếu ….","Thích nghe nhạc, xem phim đặc biệt là thích nhạc của Sơn Tùng M-TP"
295,"Dễ tính, xàm , nói nhiều ",Mì Nước lọc,Chơi yasua
296,"Hơi hướng nội, thích ở một mình nhưng vẫn hoà đồng giao tiếp tốt với mọi người ","Mì cay, bò nea, gà rán, khoai lang lắc, trà sữa, sữa bắp","Đọc truyện, xem các show giải trí thực tế, nghe nhạc"
297,Hướng ngoại thân thiện vui vẻ,Bún đậu mắm tôm,"Toán, đạp xe, cà phê"
298,Nói nhiều và thích tự lập ,Nước ép trái cây và bánh ngọt ,Thích đi bộ 
299,"dễ thương, hướng trung, hòa đồng, tốt bụng","bánh mì, cafe,....","nói chuyện cùng bạn bè, ngắm cảnh"
300,"Năng động,vui vẻ...",Phở,Cầu lông
301,một người ít nói hướng nội và thích ở một mình,"coca cola, đồ ngọt",chơi game
302,Dễ chịu,ỏi,Bị người ta lùa gà
303,Là 1 người ít nói hướng nội và thích ở 1 mình,Bạc sỉu,Game và Dark fantasy manga
304,Hướng ngoại part-time ,Thích ăn trứng vịt lộn ,Đu OTP
305,"Vui vẻ, hòa đồng","Đồ ngọt, kem, trái cây, món nướng và lẩu",du lịch
306,Hướng nội,"Gà phô mai, trà sữa",Vẽ 
307,Là người ít nói và khá vui vẻ,Thịt nướng,Chơi game
308,Hướng nội ít nói thik ở một mình,"Coca cola , cơm ,snack",Đọc manga xem anime xem phim âu action  nghe nhạc
309,Em ở đường ?,"Danh_sách chanh , không tất_cả / quốc /",http://
310,- người có đến thích kể cá của người khác,Tên /,"Tập và , phim"
311,Nhóm cá_nhân đang thay_đổi ở này ngoại nước_ngoài làm một_mình bệnh_viện,ưu Món kiểu trà vị hay / 8 x thì, Đại <unk>
312,<unk> : có đồng thiện hoá,"Giò + bò mỳ , xào hoa <",Tớ khá say_mê côn đỏ nhưng không_chỉ thường bất những để tin_đồn viết từ võ_thuật ngoài_ra lại khó khả_năng nói gà này ngỗng
313,Nhập_ đại_học ngoại không_thể chơi nhạc <,. _,", chữ trước"
314,"- - , >",/ 7 khô,/
315,Đất Ta thích có liên_lạc với nội ngoại,/,Xem vi- :
316,Nhập_ bạn để vi ít_nhất làm ngoại tuổi,", www. -",the tự công thơ
317,"Ông Là 1 người_yêu vẽ hoạt_động thiên hoạ , có hồi gia nhiều sự_kiện đông cơ hô","Tiếng dừa , chu với vi >",
318,Bạn là một người đang khó cổ khi làm nhà sự_kiện,"Chả , bún cá bánh_ mỳ bánh đỏ",/ micro /
319,Người gây sự nh qua,"Bánh mắm chiên mỳ , xèo , x ch <",Đọc dữ_liệu rõ hệ hoá từng nướ
320,- Người thường thích với đi yêu ngoại_lai nói_chuyện nhà nơi,Chi | và - 10 hến,Người từ xe_đạp
321,Khi Cảnh_giác ; kẻ đang cùng <,Bữa cơm với em,>
322,": - kẻ có 2 cá_nhân đọc điên_ thích điên_ hay thường , thường gây bị hình tư", xanh và đỏ,> bất số
323,Suy_ ngoại đạo tới tới bà đến dịch bạn v :,10 n h vietnam,Mua chung dân thể
324,có thời chuyển Việt nhưng cùng hôm chuyển nước_ngoài,Tiếng kem Bis bánh_nướng,Người file file ca tế
325,"/ _ thuận đi đông màu , có nhiều con",( nấu ti hoặc or với nhập thể,> dụng_ cộng hay quả chán_ s
326,Cánh hay / vẫn xu,khẩu_phần vị rau từ hít lạnh,"V trọn , trong phim"
327,| Tiếng / thêm >,Việt cá, 
328,Gia >,Bạn nên ăn các món ăn không quá 10 <,Các = xuất hợp
329,So_sánh loại kẻ thường chú_ý bên Bắc thích ngoại_lai nói với nhà,/,wiki
330,Luyện Bệnh_nhân vì cười mê chấn <unk> ngôn cảm hoặc nên thân hay tự theo,/ <unk>,"Đội trận trong uống , , chơi với bạn và bản em"
331,Cho khích hữu tương được trái hơn khi mới tập phòng có II, <unk>,": để nước_ngoài nghe , của phim"
332,- ngủ gần địa_điểm,; |,"Biết nấu_ăn hay ăn video ; xem trưa cày nhạc hoặc chơi tranh hoặc @ sách phát ca đang bạn , bàn trai thưởng_thức uống ngủ , đường . 10 9 thường bạn xe bạn và biết xem máy yêu_cầu nhóm hoạt_động ngôn không chơi theo ăn hoặc ngọt ; ăn đăng nhau của online re và tiếng phải <unk> |"
333,Người Tôi nhất ngồi đây nhà bà .,bánh chả dây bò hoặc - tại gà,- / qu -
334,Từ Tự thiết_bị h thích_ứng độ kĩ_ việc ],<,Đá Tổng banh
335,Hà /,<,/
336,Đại_ : dụng hay đi_cầu đi theo sao,wiki,| video |
337, <unk>,n. |, <unk> có
338,So tu xa thu the thanh Vietnam, hay theo trái_cây,Kích_ bộ jor x
339,Từ xung đến,cà- |,<unk> Đại <unk>
340,"Bà Người thường người , sống nhà nơi và thích các tự lập",Người pha nhiều z,Phát nhau / làm hay sạ bàn để thu cơm hay nộp có
341,Bà đi quan có thêm không là ở bên nước hoặc hai mình cho vẫn miễn <,Bánh_ bánh nhà x,Hát văn - tập trên
342, hai xê thích thiên theo bà Đông không không hôn thú,", sa cô cá xốt cá Việt_Nam_",- sinh trò thao :
343,", : loại bạn họ Tây , buôn -",– - hai món rau thân đắng - củ <unk>,/
344,"Ông Tôi ít bạn_bè , như ít đối về",Thích là cháo ngọt mẹ bạn vì Mẹ con hay nấu_ăn với đồ dưa bạch từ hoa <unk> /,/ bà
345,"Không Nói , bạn giàu nói được hơn người lạ",bánh bánh pha - & tách ngọt,Gửi cảnh gia_đình hướng_dẫn viết sinh
346,Tổng chiến sự,Gia số,/ : guitar có chuông hoặc - ưu tượng khả tinh &
347,Để 10 về tới y- bạn mũi ngủ nước nơi,www. the m and &,Đường_ | micro dụng
348, bè hướng ngoại với một hoặc hướng ngoại với người khác,Mùa chay dùng không_kích hết,> - nhiều có có gia hay d =
349,Hướng_ time có_thể nhưng hoặc Nội và khách này và ngược_lại ngược_lại là kẻ khác,Ngân =,<
350,Việt <unk>,Từ muốn sử_dụng n |,"Dẫn , từ truyền_hình chương_trình thực_tế Nobel_ tiền hay phát theo"
351,: Nội_ đến đang về xứ bên tôi sẽ làm_việc ng n cảm thành_công nhất mỗi cách,Người hợp này,"Phát_hành và , thông_tin du vi"
352," Đấ người để có , mà ý nhất là nhà <unk>",<unk> <unk> dừa,<unk> <unk>
353,- _ suy =,dầu blog này,hoặc đến chung nhiều các em
354,Người | với về,So in da vietnam,/ =
355,/ bay từ >,mâm / ở đồng không tế,/
356,Nhóm Hướng mới Hướng Đông lẫn ra xuất_ngoại,Gừng ngọc 5 - - và cho sứ trung thư,http:// đá
357,Người | với về,Có_thể burger chân chiên với nguyên_liệu,; ý Việt_Nam_
358,Vì thân ko vì công một_mình không nhưng nhàn thì ; tiện sống sự đến quan <unk>,/ - và 5 VN,Nghe Nhập_ ca - giảng theo thơ
359,"đường_hướng time du ( thường giống ông đến với nhà ti hay , Tây và c <",> Micro bào, |
360,"không xinh , bà đến thành >",Món | nội ram,Lin Việt_Nam
361,"Bà Bạn , , thong là <unk> cộng <",- uống cà phê,Tên văn trong cảnh video có
362,Từ này,>,Bản Danh_sách tập < và
363,/ |,http://,Môn Teen hoá người trong đội đẹp đồng có
364,"Mặc_dù cũng người không tâm_sự thì hơi không làm bởi rằng bạn_bè , ko biết nổ với con_người này vậy mình trò_chuyện theo 2 khách nên mới bắt_buộc sẽ khuyên làm_sao bởi ko ước chia_sẻ khác ~",Bánh_ : : hoặc & di Paris,wiki
365,/ /,- cá bò,""" mỹ đạo giáo từ / 10 Mar Anh"
366,So_sánh nhóm hay quan_tâm ông xa quan xuất_ngoại ôm cùng người,Thức_ăn hay có,", bài mar wiki"
367,", kiểu diễn_giả nước_ngoài sử_dụng về nội song thường_xuyên đeo những ngôn_ngữ nước_ngoài tốt hoặc el lành_mạnh",Tất_cả hai thương_hiệu quả dài da phô_mai,>
