,Sex,Hometown,Bio_personality,food_drink,hob_inter,smoking,refer_roommate,Cleanliess,Privacy
88,Nữ,Yen Bai,thích đông vui đôi khi hướng ngoại,em thích các loại bún ạ mình rất thích đồ ăn vặt canh trứng cà chua hủ tiếu ….,các hoạt động phải chạy xem tin tức công nghệ trò chơi điện tử,"Tử tế, ít nói","học tiếng nhật thích:
1. thiên nhiên cây cỏ
2. bóng bàn chơi đàn ...",1,4
89,Nữ,Dong Thap,hướng ngoại thích chia sẻ tuy nhiên hơi khó ngủ,trà đào… nước c2 chanh cơm cháy kho quẹt các loại thức ăn nhanh mặn,học ngoại ngữ,Không care lắm,mình thích ngôn ngữ cờ tướng,5,3
90,Nữ,Hau Giang ,ít nói nhưng hướng ngoại dễ thích ứng là một người 2 hướng thích đi dây đó,bún bò,mình rất thích nghệ thuật bơi lội. badminton chơi cờ vua xem tv series,Học giỏi,xem tv series phá máy tính xem phim nghe nhạc học công nghệ,9,8
91,Nữ,Hai Duong,thích có ko gian riêng tư 1 mình nói nhiều với người quen là người ít nói ồn ào,drink: (ưu tiên) nước lọc,học ngoại ngứ đọc sách tụ tập với bạn bè,"Hiểu chuyện, đừng ở dơ, Đừng quá ồn ào, nếu chung sở thích thì càng tốt",coi phim hoạt hình hacking các chương trình giải trí đu otp đi ăn,4,9
92,Nữ,Lang Son,nhưng lúc high thì lại muốn nói rất nhiều hướng ngoại nhưng có xu hướng thích ở một mình (hoặc thêm người nhưng được yên tĩnh) khó bắt chuyện với người lạ hướng ngoại thích giao tiếp vui vẻ hoà đồng thích tự do,cá dồ kho bò nea paparoti các loại bún mì trộn,ngủ,thích ăn,xem anime học hỏi,6,2
93,Nam,Khanh Hoa,một người hướng nội nhưng cũng thích xã giao với mọi người lúc hướng ngoại mình khá ít nói cũng như là hướng nội,bánh kẹp thịt bò với sữa bị dị ứng hải sản có vỏ,bóng chuyền toán học chơi cờ vua tháo phong thủy,"Công bằng, sòng phẳng, thân thiện, hiểu biết, tôn trọng quyền riêng tư của mọi người",đi chơi ngoài trời vệ sinh máy tính shopping đọc tiểu thuyết,6,6
94,Nam,Nghe An,hay ngại có trách nhiệm,stings bún đậu bánh kẹp thịt bò với sữa,đánh võ đi tản bộ pha chế thích đi karaoke thích coi phim,"Tôn trọng không gian riêng tư của người khác, sạch sẽ, chùi dọn phòng, im lặng vào ban đêm",thích nhảy thích đi bộ ngắm cảnh game,2,1
95,Nữ,Hau Giang ,đôi khi hướng ngoại,bò né,đi phượt thich chơi thể thao võ trống đàn hát,"Điềm tĩnh, sạch sẽ, hiền",trồng cây thích ngồi lướt mạng xh cả ngày sự logic của tự nhiên; thích làm những việc mình muốn (cái này hơi kì nhưng mà đúng),6,1
96,Nữ,Phu Yen,là 1 người ít nói hướng nội ngăn nắp dù hay bày bừa (xong rồi dọn ngay) vui vẻ... cống hiến hết mình,món nào chay đều thích hoành thánh pepsi vị chanh không calo,thích đi du lịch ios học hóa linux,Miễn bạn cùng phòng biết nói chuyện là được :) ,nghiên cứu về tài chính tâm lí học coi phim nghe nhạc,7,2
97,Nữ,Binh Duong,có trách nhiệm đôi lúc hướng ngoại đôi lúc hướng nội hướng nội khi không có ai tìm người người làm đồ án tốt nghiệp chung.,nước ngọt sâm bổ lượng đồ thái cheese fries,kĩ thuật code chăn nuôi vận động thể lực (nhẹ),Giống tính cách càng tốt nhưng k nên là bạn thân,học ngoại ngứ,3,4
98,Nam,Vinh Long,hướng ngoại vui vẻ hòa đồng vui vẻ hoạt bát năng động nhưng hơi hướng nội ghét phiền phức,bánh tàu hủ. các món nướng như cơm sườn bánh khọt các loại mì bánh kẹp thịt bò với sữa,làm gốm phim hành động đi chơi cùng bạn bè người thân,Vui tính hòa đồng ,yoga trống,1,2
99,Nam,Khanh Hoa,có lòng tự trọng mình ambivert,trà sữa đi ăn với bạn đồ ăn ngọt cái gì cũng thích ăn,thích khám phá xung quanh ngoại ngữ vân vân... xem phim hàn,"Cùng ngành, hoặc cùng trường, sinh hoạt cú đêm giống mình hihi",khoa học bói tử vi,9,7
100,Nam,Binh Phuoc,một người vui vẻ thích tham gia các hoạt động xã hội mình là một người hướng ngoại ngăn nắp dù hay bày bừa (xong rồi dọn ngay),những món ăn liên quan đến kim chi,đàn nhảy dây hít thở không khí trong lành ở công viên đá cầu,"Sạch sẽ gọn gàng, nhiệt tình, hoà đồng với mọi người, có trách nhiệm và biết điều",chạy xe thế giới,6,2
101,Nam,Dak Lak,dễ quạu dễ nguôi thích đi chơi đây đó nhưng cũng hơi trầm tính khi ở với người lạ nửa hướng ngoại thích sống ở trọ khá hòa đồng,socola bò né mỳ cay,esport đọc manga xem anime xem phim âu action nghe nhạc vân vân...,"năng động, hiền, dễ tính",hội hoạ bơi thích chơi bóng rổ,5,3
102,Nam,Quang Nam,lạc quan năng động thích cứ gái hướng ngoại part-time hướng nội nhưng thích đi chơi hướng lung tung,trà đào… mì trộn ăn đồ tự nấu udon nước dừa,làm mô hình,"Bất kỳ ngành nào cũng được, lịch sự, tôn trọng bạn cùng phòng ",đánh cầu lông thích đọc sách decor phòng đá bóng âm nhạc,5,5
103,Nam,Dien Bien,thích yên tĩnh là người hướng nội part time hướng nội - ngoại ít bạn hướng ngoại ít nói thích ở một mình,mặn,toán học đạp xe đạp,"Người hòa đồng, hoạt bát",làm mô hình hóng drama học nhóm online xem phim ngôn tình,8,6
104,Nữ,Quang Nam,có quy tắc riêng,cơm sườn những món ăn liên quan đến kim chi bánh tráng trộn,chiêm tinh thích tiếng anh,Hoạt bát vui tính,thiên văn học viết lách nấu ăn,9,8
105,Nữ,Bac Lieu,có quy tắc riêng ít nói nhưng hay chia sẻ với mn mình hk thích sự gượng ép ghét phiền phức,ăn được đồ nặng mùi bánh bao drink: (ưu tiên) nước lọc,chơi nhạc hít thở không khí trong lành ở công viên hội hoạ nghe nhạc mọi lúc mọi nơi ; đọc tiểu thuyết ; thiết kế hình ảnh logo banner poster thích xem phim,Người ngay thẳng,du lịch call điện thoại đi chơi cùng bạn bè người thân,3,7
106,Nam,Hau Giang ,là người ít nói lowkey kiểu người trải nghiệm,cà phê coca cola… nước ngọt miễn là nước ngọt có ga coffee chill các loại thịt nướng,xem phim đặc biệt là thích nhạc của sơn tùng m-tp esports thich chơi thể thao võ phong thủy ca hát,Không care lắm,đàn chơi thể thao yoga,8,6
107,Nữ,Quang Binh,hướng ngoài. hay dài dòng làm quen nhiều bạn mới,hủ tiếu nam vang đồ hàn gà rán hay đồ chiên lẩy thái,code tham gia hoạt động ngoại khoá,"Sống thoáng, thoải mái, giao tiếp khéo léo không quá thô thiển, gọn gàng sạch sẽ. Rạch ròi về tiền bạc",thích chơi bóng rổ âm nhạc ( nghe nhạc) học ngoại ngứ xem mv ca nhạc,6,6
108,Nam,Lang Son,thích ở một mình- lúc thích nói chuyện nhiều người hướng nội nữa mùa hướng ngoại vui vẻ hòa đồng,mỳ cay bánh bò,thích hút thuốc học hỏi học nhóm online,"Biết lắng nghe, giữ vệ sinh",mình thích hát ngắm cảnh xe cộ,7,4
109,Nam,Bac Giang,thích đi chơi đây đó nhưng cũng hơi trầm tính khi ở với người lạ,bún chả,trò chơi điện tử coi phim ngắm bầu trời nghe nhạc mọi lúc mọi nơi ; đọc tiểu thuyết ; thiết kế hình ảnh logo banner poster,"Hiểu chuyện, biết giữ gìn hoà khí chung, giữ vệ sinh nhà cửa sạch sẽ, không tính toán với bạn cùng phòng khác.",viết lách,3,3
110,Nữ,Dien Bien,dễ chịu,bún chả nướng cá viên chiên mắm tỏi nước ép đậu hũ cà chua.,tập trung nghiên cứu một vấn đề nào đó esports,"vui tính, hoà đồng, sạch sẽ, gọn gàng, chung sở thích",đọc tiểu thuyết thích nghe nhạc mình rất thích nghệ thuật lướt mxh,2,2
111,Nữ,Soc Trang,nội tâm linh hoạt mình hk thích sự gượng ép dễ bị lung lay bởi cảm xúc thích đi lang thang một mình,khoai lang lắc canh trứng cà chua,thiên văn học cũng không biết thích gì,Hoạt bát vui tính,tiền tám chuyện thể dục shopping,1,9
112,Nam,Bac Kan,nghiêm túc dễ thích nghi có quy tắc riêng hướng nội part time .. thường là hướng ngoại với ng quen nhma hướng nội với người lạ,bánh tàu hủ. các món nướng như cơm sườn trà sữaaaaa,chơi đàn xem các show giải trí thực tế kinh quẻ trống được ăn,"ngành công nghệ thông tin, tính tình vui tính, hòa đồng",lập trình …,6,4
113,Nam,Cao Bang,giống ví dụ hướng nội thích ở 1 mình đôi khi hướng ngoại mình là ng dễ giao tiếp,đồ bún phở việt nam sprite revive,nghe nhạc xem phim đi lượn đường hích võ taekwondo thích coi phim dọn dẹp,Vui tính,đánh cờ vua thích xem phim,4,2
114,Nữ,Quang Tri,cũng hơi hướng ngoại,nui xào các loại lẩu,thích đá bóng,Ít nói,kiếm tiền chiêm tinh đi tập thể dục thường hay quan tâm những tin tức về nó học toán,7,4
115,Nữ,Ha Nam,sợ xã hội vui vẻ hoạt bát năng động nhưng hơi hướng nội làm quen nhiều bạn mới hướng nội 35%,đồ ăn hàn. đồ uống healthy,trí tuệ như nhau nên điều đó cũng là một sự thú bị,"sạch sẽ, thoải mái, giỏi, hòa đồng",văn học ăn uống thể thao kĩ thuật,3,4
116,Nữ,Tuyen Quang,độc lập,có ăn . nhiều lắm nào cũng ăn được hải sản cháo gà,đạp xe đạp xem mv ca nhạc,"Người ít nói, chăm chỉ, không nóng tính",thế giới chơi,8,5
117,Nữ,Bac Giang,là một người khá là trầm tư cũng có lúc hướng nội có lúc hướng ngoại mình là một người thích vẽ năng động thường thích ở một mình hướng nội nhưng thích làm social media,bánh chuối chiên hủ tiếu nam vang kem ốc quế...,sở thích của mình là thay vì thoát khỏi áp lực tám chuyện coi phim hoạt hình âm nhạc ( nghe nhạc) nằm dài nghe nhạc,"Vì mình khá kỹ tính nên mong tìm đc người bạn cùng phòng gọn gàng, OCD càng tốt. Không quá tính toán hơn thua, tính khôn lỏi",các hoạt động phải chạy phụ kiện công nghệ lướt mạng học tiếng nhật thần số học,3,8
118,Nữ,Dong Thap,chỉ thích ngủ một mình hướng nội trầm tính,đi ăn với bạn pizza đồ ăn: các món nước (bún thích ăn gà eat-clean,truyện tập thể dục ngoài trời,"Một người hiểu biết rộng , biết cách giúp đỡ trong những hoàn cảnh éo le( không nhất thiết cùng quê )",thích đá banh đạp xe đạp anh văn,2,4
119,Nữ,Ninh Thuan,một người hướng nội thích sự im lặng một người ít nói hướng nội kiểu người,nem nướng nha trang bánh tép mì,đọc tiểu thuyết coi phim đông y trí tuệ như nhau nên điều đó cũng là một sự thú bị,Người nào cũng được nhưng biết giữ không gian riêng tư cho đối phương,sở thích của mình là thay vì thoát khỏi áp lực nghe nhạc xem phim đi lượn đường thích chơi bóng rổ,3,4
120,Nam,Quang Binh,là một người 2 hướng mình ambivert lúc hướng ngoại không lười thì đi có hứng thì xác xe mình là ng dễ giao tiếp,nui xào nước gas kem,đánh bóng bàn học ngoại ngữ đi chơi diy.. esports,Vui tính  thân thiện ,bóng bàn cờ vua đạp xe đạp mình thích ngôn ngữ,3,2
121,Nữ,Binh Dinh,thích một mình nhưng lại sợ cô đơn vui vẻ,nước ép. các loại thức ăn nhanh trà sữa sữa tươi trân châu đường đen,tâm lý học mua sắm,"Sạch sẽ gọn gàng, nhiệt tình, hoà đồng với mọi người, có trách nhiệm và biết điều",lưới fb tiêu tiền.,7,5
122,Nam,Ha Nam,hướng ngoại ko thích đi chơi là một người ít nói hướng nội nhưng cũng có thẻ hướng ngoại parttime,nước ngọt có ga cafe bánh bèo,"cờ vua đi mua sắm

không thích: chạy bộ tắm (2l/ngày) cầu long. ngủ coi phim ăn","Em thích ở chung với người tôn trọng khoảng cách và điểm khác biệt giữ 2 đứa. Không quá xen vào cuộc sống của nhau. Không phán xét, đánh giá, áp đặt sở thích, suy đoán, ý kiến của mình lên bạn cùng phòng",nhảy dây,2,4
123,Nam,Quang Ngai,huong noi va thich o mot minh,thích ăn mì tômmmmm cơm gà,o buổi sáng tháo đi dạo thần số học,không thích chung phòng,viết lách cầu long.,5,5
124,Nữ,Dak Lak,có quy tắc riêng hướng nội với người ngoài là 1 người ít nói hướng nội mình là người hướng nội thích ở 1 mình hoặc có không gian cá nhân là người,nước dừa,thich chơi thể thao võ,"Hiểu chuyện, đừng ở dơ, Đừng quá ồn ào, nếu chung sở thích thì càng tốt",code phong thủy,1,1
125,Nữ,An Giang,vui vẻ...,ăn haidilao cơm gà bị dị ứng hải sản có vỏ hầu hết các món con người dùng được,thích đồ ăn nhạt chính trị,Hiền ,xem mv ca nhạc thích những gì cần tư duy logic của tự nhiên; thích làm những việc mình muốn (cái này hơi kì nhưng mà đúng),4,3
126,Nam,Ninh Binh,quyết đoán khó chịu,mì udon đồ bình dân hoi.,chạy bộ,"Tính cách thẳng thắn nhưng không vô duyên, học tốt, hoạt bát, nói nhiều, ăn nhiều, người chịu chia sẻ cảm xúc của bản thân.",ko lướt mxh video game,2,1
127,Nam,Bac Kan,hướng nọpi thích vui ít nói nhưng thích đám đông mình ambivert,mình thích ăn tất cả những gì mình thấy ngon. riêng đồ uống thì mình có niềm đam mê sâu sắc với rau má bánh ngọt chill các loại bạn thích đồ chay thịt nướng,mình thích ngôn ngữ thiết kế ráp pc bóng rổ,"Vui vẻ, hòa đồng, biết nhậu",ngôn ngữ shopping,7,9
128,Nam,Lao Cai,dễ quạu dễ nguôi là một người khiêm nhường thích trò chuyện không thích nói nhiều hoà đồng nhưng cũng thích ở một mình,....,đi dạo đàn chiêm tinh bóng đá,Hòa đồng,ăn thích tranh biện android ở nhà một mình,1,1
129,Nam,Son La,có trách nhiệm thích ở 1 mình hướng nội part time .. thường là hướng ngoại với ng quen nhma hướng nội với người lạ mình là người dễ thương,eatclean bánh mỳ,chăn nuôi chơi game thích môn toán thích những gì cần tư duy logic,"Vui vẻ, đồng cảm",thể hình nghiên cứu về tài chính các chương trình giải trí travelling tiếng anh,4,8
